name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
TIMEX Analog Gold Dial Women's Watch-TW000Q810,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Gj-PAtAmL._AC_UL320_.jpg,https://www.amazon.in/Timex-Analog-Gold-Womens-Watch-TW000Q810/dp/B014HDPQ8G/ref=sr_1_161?qid=1679212152&s=apparel&sr=1-161,4.4,"1,259","₹2,249","₹4,395"
"Spectrum Reading Workbook, Grade K",stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81o5iPjh+fL._AC_UL320_.jpg,https://www.amazon.in/Spectrum-Reading-Workbook-Grade-K/dp/1483812138/ref=sr_1_162?qid=1679212152&s=apparel&sr=1-162,4.7,601,,₹840
Om Jewells Valentine Gift Rose Gold Plated Jewellery Combo Of 5 Adjustable Chain Bangle Bracelet Emblished With White Crys...,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81zlKLbRAfL._AC_UL320_.jpg,https://www.amazon.in/Om-Jewells-Jewellery-Adjustable-CO1000280/dp/B07X34QNKP/ref=sr_1_163?qid=1679212152&s=apparel&sr=1-163,3.8,"1,982",₹399,"₹1,999"
"Juteberry Jute/Juco Blue Tote Bags, Women Hand bag Eco Friendly, 100%Natural ,Spacious Bags, Beach Bags, Fashion & Shoppin...",stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81cqyrytpGL._AC_UL320_.jpg,https://www.amazon.in/Juteberry-Friendly-100-Natural-Spacious-Shopping/dp/B09MN9YX53/ref=sr_1_164?qid=1679212152&s=apparel&sr=1-164,3.8,166,₹369,"₹1,699"
TIMEX Analog Women's Watch (Dial Colored Strap),stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Yl+kTwWwL._AC_UL320_.jpg,https://www.amazon.in/Timex-Analog-Silver-Womens-Watch-TW000X220/dp/B07QS9LX6D/ref=sr_1_165?qid=1679212152&s=apparel&sr=1-165,4.4,"3,984","₹2,032","₹3,195"
Shining Diva Fashion Latest Stylish Austrian Crystal Rose Gold Charm Bracelet for Women,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51rmMr2nSiL._AC_UL320_.jpg,https://www.amazon.in/Shining-Diva-Fashion-Infinity-10672b/dp/B07RY8K8X9/ref=sr_1_166?qid=1679212152&s=apparel&sr=1-166,4.1,"2,011",₹237,"₹1,499"
KOPNHAGN Women's Ankle Length Cotton Socks (Pack Of 5) (KP-WBX-50_Multicolour),stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91cEbFX8uML._AC_UL320_.jpg,https://www.amazon.in/KOPNHAGN-Womens-Premium-Cushion-Assorted/dp/B097QT9W86/ref=sr_1_167?qid=1679212152&s=apparel&sr=1-167,4.1,"1,556",₹299,₹699
Belladona Women's & Girls' Handbag (POH_7_Black),stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41RRMBKpRCL._AC_UL320_.jpg,https://www.amazon.in/Belladona-Leather-Small-Pouch-Women/dp/B078LPDN6D/ref=sr_1_168?qid=1679212152&s=apparel&sr=1-168,4.0,"1,140",₹389,₹999
Sonata Analog White Dial Women's Watch NM8976YL02W / NL8976YL02W,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51UVbD7p7zL._AC_UL320_.jpg,https://www.amazon.in/Sonata-Analog-White-Womens-Watch-NJ8976YL02W/dp/B00K2Q37JS/ref=sr_1_169?qid=1679212152&s=apparel&sr=1-169,4.1,"5,070",,₹649
FIORRA Women's Maroon Poly Crepe A-line Kurta with Pant and Dupatta,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81271aov+AL._AC_UL320_.jpg,https://www.amazon.in/FIORRA-Womens-Straight-Dupatta-SET0058-M/dp/B0B7S9QGWG/ref=sr_1_170?qid=1679212152&s=apparel&sr=1-170,4.1,"2,139",₹810,"₹2,599"
Beclina Handbag For Women And Girls | Ladies Purse Faux Leather Handbag | Woman Gifts | Wedding Gifts For Woman | Women 3 ...,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51qjfxBXOKL._AC_UL320_.jpg,https://www.amazon.in/BECLINA-Womens-Stylish-Modern-Handbag/dp/B085WNF74B/ref=sr_1_171?qid=1679212152&s=apparel&sr=1-171,3.8,"2,918","₹1,149","₹2,999"
"Wolpin Facial Headband For Unisex Make-Up Face Wash Hair Band With Deer Horns, Elastic Headband, Pack Of 1",stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/6163LgW8abL._AC_UL320_.jpg,https://www.amazon.in/Wolpin-Facial-Headband-Make-Up-Elastic/dp/B0B91DBP4W/ref=sr_1_172?qid=1679212152&s=apparel&sr=1-172,4.3,118,₹169,₹499
Yellow Chimes Earrings for Women & Girls| Traditional Multicolor Drop Earrings| Gold Plated Set| Drop Earring Combo| Acces...,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61pYO5D2R7L._AC_UL320_.jpg,https://www.amazon.in/Yellow-Chimes-Traditional-Multi-colour-YCTJER-01LAAC-C-MC/dp/B07PHKD63B/ref=sr_1_173?qid=1679212152&s=apparel&sr=1-173,3.9,"3,884",₹203,₹899
GoSriKi Women Saree,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61Ndm5mnP4L._AC_UL320_.jpg,https://www.amazon.in/GoSriKi-Womens-Woven-Georgette-Apne-Green-GO/dp/B0B1F2WVW2/ref=sr_1_174?qid=1679212152&s=apparel&sr=1-174,3.6,"1,054",₹289,"₹2,599"
NIBOSI Women Watches Analog Rose Gold Square Dial Women's Watch for Girls&Miss&Ladies Diamond Studded with Stylish Watches...,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61xuL9-N-nL._AC_UL320_.jpg,https://www.amazon.in/NIBOSI-Watches-Diamond-Studded-Waterproof/dp/B0B2P7TTKB/ref=sr_1_175?qid=1679212152&s=apparel&sr=1-175,4.1,489,"₹1,999","₹3,000"
Daily Use Slippers For Women/Bathroom Slippers/Home Slippers/All day wear FL-427,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51-2tM1l6rL._AC_UL320_.jpg,https://www.amazon.in/Daily-Slippers-Bathroom-FL-427-numeric_5/dp/B0BTLXG4JS/ref=sr_1_176?qid=1679212152&s=apparel&sr=1-176,3.8,16,₹325,₹349
Reading (Flash Card 4-pk),stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81Sje-iLiVL._AC_UL320_.jpg,https://www.amazon.in/School-Zone-Reading-Combination-Rhyming/dp/1601599358/ref=sr_1_177?qid=1679212152&s=apparel&sr=1-177,4.8,"2,971",,"₹1,159"
Lavie Women's Broxa Flap Over Sling Bag | Ladies Purse Handbag,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61L+2HeKv-S._AC_UL320_.jpg,https://www.amazon.in/Lavie-Broxa-Flap-Womens-Sling/dp/B08QTF8RPM/ref=sr_1_178?qid=1679212152&s=apparel&sr=1-178,4.2,"5,669",₹959,"₹3,199"
SATYAM KRAFT Women's Metal Waist Belt (Pack Of 1 Pcs) (Leaf Belt Golden_Golden),stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51bIdbRf2YL._AC_UL320_.jpg,https://www.amazon.in/Celebrity-Inspired-Special-Stretch-stylish/dp/B078BGC1X1/ref=sr_1_179?qid=1679212152&s=apparel&sr=1-179,4.2,"4,600",₹259,"₹1,200"
Fashion Frill Charming Infinity Butterfly Neck Wear Gold Plated Chain Necklace For Women Girls Combo of 2 Chain Pendant Fo...,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61rsaPCKnmL._AC_UL320_.jpg,https://www.amazon.in/Fashion-Frill-Charming-Infinity-Butterfly/dp/B0BDM8Y4NB/ref=sr_1_180?qid=1679212152&s=apparel&sr=1-180,3.4,46,₹209,₹899
Vaamsi Women's Cotton Blend Printed Kurta Pant Dupatta Set (VKSKD1171_Green),stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71ntNcW3OhL._AC_UL320_.jpg,https://www.amazon.in/Vaamsi-Womens-Printed-Dupatta-VKSKD1171_L_Green/dp/B09BFFMXDN/ref=sr_1_181?qid=1679212152&s=apparel&sr=1-181,3.9,787,₹679,"₹3,497"
Sonata Fashion Fibre Analog Black Dial Women's Watch NM8992PP02/NN8992PP02,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61pTlT2b7FL._AC_UL320_.jpg,https://www.amazon.in/Sonata-Fashion-Analog-Womens-Watch-NJ8992PP02C/dp/B00EY7XIC2/ref=sr_1_182?qid=1679212152&s=apparel&sr=1-182,4.0,"4,646",₹699,₹725
Sichumaria Anti-Wrinkle Shoes Flod Protectors Toe Box Defloder Shoes Flod Guards for Sneaker and Casual Shoes Soft Materia...,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41mShz1CCaL._AC_UL320_.jpg,https://www.amazon.in/Sichumaria-Anti-Wrinkle-Protectors-Defloder-Indentation/dp/B0B14HTLSD/ref=sr_1_183?qid=1679212152&s=apparel&sr=1-183,3.6,127,₹238,₹999
jsm fashion Women's Handbag (BLACK PRINT_Black),stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81whhNx7zjL._AC_UL320_.jpg,https://www.amazon.in/jsm-fashion-stylish-beautyful-black/dp/B081JX6YZB/ref=sr_1_184?qid=1679212152&s=apparel&sr=1-184,3.5,"2,339",₹287,₹999
ZAVERI PEARLS Ethnic Kundan & Pearls Multi Layers Bridal Necklace Set For Women-ZPFK8689,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71eaAiL-wjL._AC_UL320_.jpg,https://www.amazon.in/Zaveri-Pearls-Jewellery-Golden-ZPFK8689/dp/B07Q538CC5/ref=sr_1_185?qid=1679212152&s=apparel&sr=1-185,4.0,"1,443",₹348,"₹3,160"
YouBella Jewellery Bracelets for Women Stylish Rose Gold Plated Crystal Bracelet Bangle Jewellery for Girls and Women,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71P8z0DrFRL._AC_UL320_.jpg,https://www.amazon.in/YouBella-Plated-Bracelet-Golden-YBBN_91340A/dp/B071CMQ6N2/ref=sr_1_186?qid=1679212152&s=apparel&sr=1-186,3.9,"10,837",₹195,"₹1,999"
Alexvyan Women Warm Thick Fur Lined Fleece Thermal Soft Legging Winter Slim Fit Tights Stocking,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41kY+dxDpzL._AC_UL320_.jpg,https://www.amazon.in/Alexvyan-Fleece-Legging-Thermal-Leggings/dp/B07YR2SVYS/ref=sr_1_187?qid=1679212152&s=apparel&sr=1-187,4.3,"2,259",₹729,"₹1,299"
PAPIO Analog Women's Watch (White Dial Multi Colored Strap),stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81rLu6RKYPL._AC_UL320_.jpg,https://www.amazon.in/NUBELA-Analogue-Diamond-Movement-DG_BF/dp/B07CHSSMJ1/ref=sr_1_188?qid=1679212152&s=apparel&sr=1-188,3.7,"2,074",₹174,₹599
Fostelo Handbag For Women And Girls | Ladies Purse Faux Leather Satchel Bag | Woman Gifts | Wedding Gifts For Women | Wome...,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61Fa7wW9FvL._AC_UL320_.jpg,https://www.amazon.in/Fostelo-Style-Diva-Womens-Handbag/dp/B00Z0NMFKU/ref=sr_1_189?qid=1679212152&s=apparel&sr=1-189,3.9,"7,090",₹629,"₹2,799"
IndiWeaves� Fleece Solid Side Striped Lower for Women [Pack of 1],stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41yEhaOUA5L._AC_UL320_.jpg,https://www.amazon.in/IndiWeaves%EF%BF%BD-Fleece-Solid-Striped-Binding/dp/B0BB35CG6Y/ref=sr_1_190?qid=1679212152&s=apparel&sr=1-190,,,₹599,₹699
Vama Fashions Safety Dupatta and Dress Pins Brooch and Hijab Patli Lock stone Saree Pin for women,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71GZGnVCcKL._AC_UL320_.jpg,https://www.amazon.in/Fashions-Safety-Dupatta-Dress-Brooch/dp/B0B3NCTKGC/ref=sr_1_191?qid=1679212152&s=apparel&sr=1-191,4.2,50,₹256,"₹1,200"
Fastrack Hip Hop Analog White Dial Women's Watch-NL9827PP01/NP9827PP01,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71crjcEFYSL._AC_UL320_.jpg,https://www.amazon.in/Fastrack-Analog-White-Womens-Watch-NK9827PP01/dp/B0085UVUCE/ref=sr_1_192?qid=1679212152&s=apparel&sr=1-192,4.3,"1,801",,"₹2,450"
Leather World 6 Slot Vegan Leather Men Watch Box Display Case Organizer Glass Women Jewelry Storage Black,stores,Women's Fashion,https://m.media-amazon.com/images/I/61OjH2B8tRL._AC_UL320_.jpg,https://www.amazon.in/Leather-World-Watch-Organizer-Black/dp/B084MK46HJ/ref=sr_1_337?qid=1679212155&s=apparel&sr=1-337,4.2,814,₹585,"₹1,499"
HELISHA Women's & Girls Reusable Nipple Cover - Silicone Nipple Cover Bra Pad - Adhesive Reusable Nipple Pads - Thin Silic...,stores,Women's Fashion,https://m.media-amazon.com/images/I/51ow2uQ3jCL._AC_UL320_.jpg,https://www.amazon.in/HELISHA-Womens-Girls-Reusable-Nipple/dp/B09K7RS6VL/ref=sr_1_338?qid=1679212155&s=apparel&sr=1-338,4.0,685,₹249,₹999
Funk For Hire Women Printed Petrol Blue Leatherette Wallet,stores,Women's Fashion,https://m.media-amazon.com/images/I/81HqR9N8OcL._AC_UL320_.jpg,https://www.amazon.in/Funk-Hire-Printed-Petrol-Leatherette/dp/B07XZCK4JJ/ref=sr_1_339?qid=1679212155&s=apparel&sr=1-339,4.3,935,₹608,"₹1,000"
Yellow Chimes Necklace Set for Women And Girls Traditional Jewellery Set for Women Gold-Plated Temple Necklace Set Stone-S...,stores,Women's Fashion,https://m.media-amazon.com/images/I/61V4Z6WqAVL._AC_UL320_.jpg,https://www.amazon.in/Yellow-Chimes-Traditional-Jewellery-Necklace/dp/B09VGYDJS5/ref=sr_1_340?qid=1679212155&s=apparel&sr=1-340,3.9,101,₹358,"₹1,989"
PLUMBURY Women's Nylon Lightly Padded Wire Free Sports Bra,stores,Women's Fashion,https://m.media-amazon.com/images/I/61uC3C7agpS._AC_UL320_.jpg,https://www.amazon.in/PLUMBURY%C2%AE-Womens-Padded-Racerback-Sports/dp/B09BDDPBGD/ref=sr_1_341?qid=1679212155&s=apparel&sr=1-341,3.6,598,₹399,₹899
ANNI DESIGNER Women's Cotton Blend Printed Straight Kurta with Pant & Dupatta (Makshi),stores,Women's Fashion,https://m.media-amazon.com/images/I/61ImM-06ASL._AC_UL320_.jpg,https://www.amazon.in/ANNI-DESIGNER-Straight-Makshi-Red_XL_Red_X-Large/dp/B0BDLH1P79/ref=sr_1_342?qid=1679212155&s=apparel&sr=1-342,3.4,857,₹664,"₹2,599"
Fastrack Tropical Waters Analog Green Dial Women's Watch-NM68010SM07 / NL68010SM07,stores,Women's Fashion,https://m.media-amazon.com/images/I/71w8bUbOWZL._AC_UL320_.jpg,https://www.amazon.in/Fastrack-Tropical-Waters-Analog-Watch-68010SM07/dp/B07JFXPT3W/ref=sr_1_343?qid=1679212155&s=apparel&sr=1-343,4.4,620,,"₹1,550"
Juveriya Women's Pure Rayon Patiala Salwar Suit Set Latest,stores,Women's Fashion,https://m.media-amazon.com/images/I/51zWoCd1toL._AC_UL320_.jpg,https://www.amazon.in/Juveriya-Womens-Patiala-KurSalwar-1-Red-Black-M/dp/B0BV2P5THM/ref=sr_1_344?qid=1679212155&s=apparel&sr=1-344,4.0,1,,
Lavie Women's Malnov Tote Bag | Ladies Purse Handbag,stores,Women's Fashion,https://m.media-amazon.com/images/I/712HIkJm8NS._AC_UL320_.jpg,https://www.amazon.in/Lavie-Malgana-Womens-Tote-Black/dp/B07PKHC72N/ref=sr_1_345?qid=1679212155&s=apparel&sr=1-345,4.1,"4,958",₹967,"₹2,490"
"Satin Scrunchies for Women/girls - Exact Colors as Pic, Scrunchies | Plain Pastel Shades, Quality Tie Elastic (Pack of 12)",stores,Women's Fashion,https://m.media-amazon.com/images/I/71ZANvs0aWL._AC_UL320_.jpg,https://www.amazon.in/Satin-Scrunchies-Women-girls-Quality/dp/B0B8VKPD5W/ref=sr_1_346?qid=1679212155&s=apparel&sr=1-346,4.4,57,₹190,₹599
"Mahi Women's , Girl's Alloy Rose Gold Plated Dual Heart Pendant for mom with Crystal Stones white colour",stores,Women's Fashion,https://m.media-amazon.com/images/I/61aVB6lQSbL._AC_UL320_.jpg,https://www.amazon.in/Mahi-Plated-Pendant-Crystal-PS1101698Z/dp/B083P1BD2X/ref=sr_1_347?qid=1679212155&s=apparel&sr=1-347,3.8,974,₹173,"₹1,199"
Saanchi Ecommerce Women's Georgette Sarees ($$R-1227_Multicolour),stores,Women's Fashion,https://m.media-amazon.com/images/I/71hn7oBbhML._AC_UL320_.jpg,https://www.amazon.in/Saanchi-Ecommerce-Womens-Georgette-R-1227_Multicolour/dp/B0BCX195VM/ref=sr_1_348?qid=1679212155&s=apparel&sr=1-348,4.0,2,₹199,"₹1,999"
Titan Analog Blue Dial Unisex's Watch-NN26006PP01W/NP26006PP01W,stores,Women's Fashion,https://m.media-amazon.com/images/I/71gC3uT4koL._AC_UL320_.jpg,https://www.amazon.in/Titan-Analog-Blue-Unisexs-Watch-NK26006PP01/dp/B01N3OHFS6/ref=sr_1_349?qid=1679212155&s=apparel&sr=1-349,4.4,"1,161",,₹775
ZAVERI PEARLS Set of 2 Rose Gold Contemporary Cubic Zirconia Brass Kada Style Bracelet For Women-ZPFK11116,stores,Women's Fashion,https://m.media-amazon.com/images/I/71LxR8HzoUL._AC_UL320_.jpg,https://www.amazon.in/Zaveri-Contemporary-Zirconia-Bracelet-Women-ZPFK11116/dp/B09F35MLC1/ref=sr_1_350?qid=1679212155&s=apparel&sr=1-350,4.2,174,₹358,"₹2,750"
LA GLARE Sling Bag for Women | Stylish Trending Handbag,stores,Women's Fashion,https://m.media-amazon.com/images/I/81q0NUDRQaL._AC_UL320_.jpg,https://www.amazon.in/GLARE-BigBlack-Fitting-Sling-Black-Stylish-Trending-Handbag/dp/B09N9MMLM3/ref=sr_1_351?qid=1679212155&s=apparel&sr=1-351,4.3,443,₹495,"₹1,299"
CREATURE Gaga Cat-Eye Oversize Sunglasses For Girls(Lens-Purple||Frame-Black||GAGA-007),stores,Women's Fashion,https://m.media-amazon.com/images/I/71moOAL2p3L._AC_UL320_.jpg,https://www.amazon.in/Creature-Oversized-Sunglasses-Lens-Purple-Frame-Black/dp/B07BCQ76W4/ref=sr_1_352?qid=1679212155&s=apparel&sr=1-352,4.1,"1,460",₹309,"₹1,499"
Acnos Luxury Analogue Girl's Watch(Multicolour Dial 1-Multicolour Colored Strap),stores,Women's Fashion,https://m.media-amazon.com/images/I/71US4drMvyL._AC_UL320_.jpg,https://www.amazon.in/Acnos-Analogue-Multicolour-1-Multicolour-Colored/dp/B08VNYPFW2/ref=sr_1_353?qid=1679212155&s=apparel&sr=1-353,3.9,243,₹385,"₹1,999"
Miramar Fashion Ponytail Elastics Small Hair Ties Rubber Bands Styles Scrunchie Fashion Hair Rubber for Girl's and Women's...,stores,Women's Fashion,https://m.media-amazon.com/images/I/412wrrLId2L._AC_UL320_.jpg,https://www.amazon.in/Miramar-Ponytail-Elastics-Scrunchie-Multicolor/dp/B0BWD89RY2/ref=sr_1_354?qid=1679212155&s=apparel&sr=1-354,3.5,92,₹99,₹199
Valerie Sling Box Bag For Women with Detacheable Shoulder Strap and Convertible into Cosmetic Box Bag,stores,Women's Fashion,https://m.media-amazon.com/images/I/61MYl8yl4RL._AC_UL320_.jpg,https://www.amazon.in/Valerie-Detachable-Shoulder-Convertible-Cosmetic/dp/B0B1YV4SVL/ref=sr_1_355?qid=1679212155&s=apparel&sr=1-355,4.0,150,₹549,₹999
